City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,-4.2,93,100,5.67,RU,1728353875
1,nuuk,64.1835,-51.7216,2.34,69,18,5.14,GL,1728354469
2,utrik,11.2278,169.8474,28.69,76,1,3.91,MH,1728354470
3,waitangi,-43.9535,-176.5597,11.57,98,51,5.36,NZ,1728354471
4,sinabang,2.4803,96.3801,27.48,80,100,2.92,ID,1728354472
5,uturoa,-16.7333,-151.4333,25.27,72,100,8.21,PF,1728354473
6,tchollire,8.4022,14.1698,21.82,95,100,1.32,CM,1728354474
7,ribeira grande,38.5167,-28.7,24.32,91,14,11.62,PT,1728354475
8,yellowknife,62.456,-114.3525,8.45,97,20,4.12,CA,1728354286
9,port elizabeth,-33.918,25.5701,16.84,89,100,9.77,ZA,1728354478
10,anloga,5.7947,0.8973,25.88,86,74,3.27,GH,1728354479
11,puerto ayora,-0.7393,-90.3518,21.42,95,99,2.24,EC,1728354480
12,puerto natales,-51.7236,-72.4875,6.01,95,100,1.91,CL,1728354185
13,hamilton,39.1834,-84.5333,12.0,76,0,2.06,US,1728354004
14,isafjordur,66.0755,-23.124,0.19,75,100,1.31,IS,1728354484
15,peasedown saint john,51.3167,-2.4242,11.39,94,82,3.76,GB,1728354485
16,blackmans bay,-43.0167,147.3167,10.41,71,99,0.89,AU,1728354486
17,port-aux-francais,-49.35,70.2167,2.77,71,25,10.45,TF,1728354488
18,cabedelo,-6.9811,-34.8339,25.37,82,43,4.53,BR,1728354489
19,vepagunta,17.7784,83.2158,26.88,83,42,1.4,IN,1728354491
20,tralee,52.2704,-9.7026,9.48,97,68,3.0,IE,1728354492
21,colonia,50.9333,6.95,16.45,90,0,6.69,DE,1728354400
22,bethel,41.3712,-73.414,12.12,80,0,0.45,US,1728354376
23,grytviken,-54.2811,-36.5092,-3.53,75,16,6.33,GS,1728354495
24,iskateley,67.6803,53.1512,-0.27,77,100,4.32,RU,1728354498
25,howrah,22.5892,88.3103,30.0,89,40,1.54,IN,1728354499
26,hawaiian paradise park,19.5933,-154.9731,26.8,69,20,3.09,US,1728354500
27,adamstown,-25.066,-130.1015,20.38,60,5,3.33,PN,1728354501
28,lata,40.1629,-8.3327,13.42,97,94,2.61,PT,1728354502
29,putian,25.4394,119.0103,21.63,81,99,1.85,CN,1728354503
30,georgetown,5.4112,100.3354,27.09,86,20,2.57,MY,1728353962
31,zaranj,30.9667,61.8833,20.19,41,0,6.43,AF,1728354506
32,hithadhoo,-0.6,73.0833,27.23,79,100,4.9,MV,1728354507
33,badger,64.8,-147.5333,2.07,74,75,0.0,US,1728354508
34,constantia,44.1833,28.65,10.38,65,0,4.11,RO,1728354247
35,port alfred,-33.5906,26.891,17.32,87,100,2.68,ZA,1728354510
36,jinghong,21.991,100.7341,25.37,61,1,1.25,CN,1728354511
37,qaqortoq,60.7167,-46.0333,2.24,92,0,0.99,GL,1728354267
38,edinburgh of the seven seas,-37.0676,-12.3116,14.39,96,100,4.25,SH,1728354514
39,port macquarie,-31.4333,152.9167,21.71,78,1,2.24,AU,1728354515
40,nabire,-3.3667,135.4833,30.31,64,77,2.06,ID,1728354516
41,bela vista,-22.1089,-56.5211,26.15,18,2,2.19,BR,1728354517
42,ilulissat,69.2167,-51.1,0.01,80,100,0.0,GL,1728354518
43,caleta de carquin,-11.0925,-77.6267,17.48,85,46,4.48,PE,1728354519
44,shimoda,34.6667,138.95,23.65,89,71,4.27,JP,1728354521
45,longyearbyen,78.2186,15.6401,-4.09,80,0,4.63,SJ,1728353983
46,vilyuchinsk,52.9306,158.4028,10.15,59,74,1.87,RU,1728354523
47,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.03,GF,1728354524
48,bilibino,68.0546,166.4372,-5.37,90,100,0.99,RU,1728354525
49,nova sintra,14.8667,-24.7167,27.11,81,4,5.26,CV,1728354526
50,albany,42.6001,-73.9662,11.06,67,42,0.45,US,1728354272
51,bredasdorp,-34.5322,20.0403,16.51,85,99,7.48,ZA,1728354529
52,saipan,15.1355,145.701,27.39,94,75,4.63,MP,1728354448
53,stanley,54.868,-1.6985,7.09,96,20,0.51,GB,1728354531
54,coquimbo,-29.9533,-71.3436,11.66,88,100,4.12,CL,1728354532
55,kingston,17.997,-76.7936,29.53,79,20,2.06,JM,1728354533
56,ushuaia,-54.8,-68.3,5.81,87,0,2.57,AR,1728354361
57,luderitz,-26.6481,15.1594,13.18,86,15,2.14,NA,1728353996
58,tiksi,71.6872,128.8694,-7.41,93,100,1.48,RU,1728354537
59,grand falls-windsor,48.9332,-55.6649,6.39,92,100,2.56,CA,1728354538
60,palu,-0.8917,119.8707,30.82,70,64,1.23,ID,1728354539
61,sparks,39.5349,-119.7527,20.48,35,0,4.63,US,1728354540
62,saint-joseph,-21.3667,55.6167,19.21,80,0,3.51,RE,1728354541
63,whitehorse,60.7161,-135.0538,6.06,61,75,5.14,CA,1728354542
64,ixtapa,20.7,-105.2,25.57,94,100,2.06,MX,1728354544
65,capitao poco,-1.7464,-47.0594,22.47,94,41,2.34,BR,1728354545
66,patrocinio,-18.9439,-46.9925,24.8,30,11,1.34,BR,1728354546
67,atafu village,-8.5421,-172.5159,28.07,74,20,5.14,TK,1728354547
68,ko pha ngan,9.7578,100.0291,28.38,71,53,0.43,TH,1728354548
69,skovorodino,53.9833,123.9167,4.09,30,20,1.86,RU,1728354549
70,ulsteinvik,62.3432,5.8487,9.44,91,100,3.81,NO,1728354551
71,malvan,16.0667,73.4667,26.2,85,89,2.62,IN,1728354552
72,udachny,66.4167,112.4,-7.74,91,100,3.07,RU,1728354553
73,ust-nera,64.5667,143.2,-5.76,76,58,1.23,RU,1728353959
74,basco,20.4487,121.9702,28.06,80,18,5.69,PH,1728354555
75,christchurch,-43.5333,172.6333,21.1,40,100,9.26,NZ,1728354556
76,totness,5.8833,-56.3167,27.47,81,7,5.01,SR,1728354558
77,iqaluit,63.7506,-68.5145,1.5,93,75,10.8,CA,1728354559
